steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
1376950|Fantasy Friends|False|Xaloc Studios|Maximum Entertainment|28|Simulation|N/A|N/A|2020-11-06|0|True|False|False
2720440|黑暗征途：魔王的命运|False|FODK Studio|FODK Studio|25|Adventure|23|Indie|2024-03-07|0|True|False|False
2622140|Virtual Handheld|False|ZanyCat|ZanyCat|57|Utilities|70|Early Access|2023-11-04|0|True|False|False
1376960|Dead World|False|Sauce Studios|Sauce Studios|1|Action|25|Adventure|2024-05-04|0|True|False|False
2687680|Barrhell|False|Weird AF Games|Weird AF Games|1|Action|23|Indie|2024-07-24|0|True|False|False
1409730|Hero of Not Our Time|False|Hide Head|Hide Head|1|Action|25|Adventure|2020-10-09|0|True|False|False
1409740|Cybernetic Fault|False|Whale Rock Games|Whale Rock Games|1|Action|25|Adventure|2020-09-25|0|True|False|False
2589390|MedCom Origin Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2024-05-03|0|True|False|False
1311440|看白海豚的好日子 A Perfect Day for White Dolphin|False|寒蟬|寒蟬|25|Adventure|23|Indie|2020-05-22|0|True|False|False
1344210|Mysteries Of Darkness|False|Mercier Christophe|Mercier Christophe|70|Early Access|N/A|N/A|2022-01-31|0|True|False|False
2654930|Mortadelo y Filemón: Balones y Patadones|False|Alcachofa Soft| Erbe Software|25|Adventure|N/A|N/A|2024-01-19|0|True|False|False
2589400|Math High Speed|False|Natanael Figueiredo Rodrigues|MHS (Math High Speed)|23|Indie|29|Massively Multiplayer|2023-10-23|0|True|False|False
2622170|上班啦|False|若小言|若小言|25|Adventure|4|Casual|2023-10-29|0|True|False|False
2654940|Mortadelo y Filemón: Dos vaqueros chapuceros|False|Alcachofa Soft|Erbe Software|25|Adventure|N/A|N/A|2024-02-09|0|True|False|False
1409760|Gardens Of Celestial Globes|False|Structures from obscurity|Structures from obscurity|1|Action|25|Adventure|2023-11-22|0|True|False|False
1278690|Firefighters - Airport Heroes|False|VIS-Games| United Independent Entertainment|28|Simulation|N/A|N/A|2020-09-29|0|True|False|False
2589410|Stand Your Ground|False|Noahstar365|Noahstar365|2|Strategy|70|Early Access|2023-10-10|0|True|True|False
1311460|Lost Alone|False|Pasha Utt|Egg Splat Studios|1|Action|23|Indie|2020-06-09|0|True|False|False
3277540|Last 22|False|Raycand Games|Raycand Games|1|Action|25|Adventure|2024-10-30|0|True|False|False
2654950|Mortadelo y Filemón: El escarabajo de Cleopatra|False|Alcachofa Soft|Erbe Software|25|Adventure|N/A|N/A|2023-12-29|0|True|False|False
1409770|Cat's Kiss|False|Narrator|Narrator|4|Casual|23|Indie|2022-05-27|0|True|False|False
2654960|Mortadelo y Filemón: La Sexta Secta|False|Alcachofa Soft|Erbe Software|25|Adventure|N/A|N/A|2023-12-30|0|True|False|False
1377010|Sanctuary Island|False|Duckbill Development|Duckbill Development|23|Indie|3|RPG|2022-01-14|0|True|False|False
1409780|My city and army|False|武器铺工作室|武器铺工作室|4|Casual|23|Indie|2021-02-10|0|True|True|False
